time,temp,humidity,location,temp_outside,humidity_outside,location_outside
2021-09-02 06:00:00,64.58,58.9,Lower Southeast,56.0,72.0,Outside
2021-09-02 06:00:00,64.04,63.2,Lower Southwest,56.0,72.0,Outside
2021-09-02 06:00:00,68.9,57.7,Upper East (Garage),56.0,72.0,Outside
2021-09-02 06:00:00,68.18,55.29,Upper West (Bedroom),56.0,72.0,Outside
2021-09-02 06:00:00,56.0,72.0,Outside,56.0,72.0,Outside
2021-09-02 07:00:00,62.42,61.3,Lower Northeast,54.0,77.0,Outside
2021-09-02 07:00:00,71.24,54.2,Backyard,54.0,77.0,Outside
2021-09-02 07:00:00,64.4,58.8,Lower Southeast,54.0,77.0,Outside
2021-09-02 07:00:00,64.04,63.2,Lower Southwest,54.0,77.0,Outside
2021-09-02 07:00:00,68.9,57.2,Upper East (Garage),54.0,77.0,Outside
2021-09-02 07:00:00,68.36,56.09,Upper West (Bedroom),54.0,77.0,Outside
2021-09-02 07:00:00,54.0,77.0,Outside,54.0,77.0,Outside
2021-09-02 08:00:00,62.42,62.0,Lower Northeast,56.0,72.0,Outside
2021-09-02 08:00:00,71.6,56.0,Backyard,56.0,72.0,Outside
2021-09-02 08:00:00,64.4,59.2,Lower Southeast,56.0,72.0,Outside
2021-09-02 08:00:00,64.04,63.3,Lower Southwest,56.0,72.0,Outside
2021-09-02 08:00:00,68.9,58.4,Upper East (Garage),56.0,72.0,Outside
2021-09-02 08:00:00,68.18,55.69,Upper West (Bedroom),56.0,72.0,Outside
2021-09-02 08:00:00,56.0,72.0,Outside,56.0,72.0,Outside
2021-09-02 09:00:00,62.6,62.5,Lower Northeast,59.0,64.0,Outside
2021-09-02 09:00:00,71.6,56.1,Backyard,59.0,64.0,Outside
2021-09-02 09:00:00,64.76,60.2,Lower Southeast,59.0,64.0,Outside
2021-09-02 09:00:00,64.22,63.7,Lower Southwest,59.0,64.0,Outside
2021-09-02 09:00:00,68.72,58.0,Upper East (Garage),59.0,64.0,Outside
2021-09-02 09:00:00,68.18,56.09,Upper West (Bedroom),59.0,64.0,Outside
2021-09-02 09:00:00,59.0,64.0,Outside,59.0,64.0,Outside
2021-09-02 10:00:00,62.6,62.8,Lower Northeast,64.0,54.0,Outside
2021-09-02 10:00:00,71.24,54.9,Backyard,64.0,54.0,Outside
2021-09-02 10:00:00,64.58,62.1,Lower Southeast,64.0,54.0,Outside
2021-09-02 10:00:00,64.22,64.5,Lower Southwest,64.0,54.0,Outside
2021-09-02 10:00:00,68.9,58.7,Upper East (Garage),64.0,54.0,Outside
2021-09-02 10:00:00,68.36,56.79,Upper West (Bedroom),64.0,54.0,Outside
2021-09-02 10:00:00,64.0,54.0,Outside,64.0,54.0,Outside
2021-09-02 11:00:00,62.96,64.4,Lower Northeast,69.0,45.0,Outside
2021-09-02 11:00:00,71.24,55.0,Backyard,69.0,45.0,Outside
2021-09-02 11:00:00,64.4,62.9,Lower Southeast,69.0,45.0,Outside
2021-09-02 11:00:00,64.22,65.5,Lower Southwest,69.0,45.0,Outside
2021-09-02 11:00:00,68.9,60.6,Upper East (Garage),69.0,45.0,Outside
2021-09-02 11:00:00,68.36,55.99,Upper West (Bedroom),69.0,45.0,Outside
2021-09-02 11:00:00,69.0,45.0,Outside,69.0,45.0,Outside
2021-09-02 12:00:00,63.32,63.9,Lower Northeast,72.0,41.0,Outside
2021-09-02 12:00:00,71.42,54.9,Backyard,72.0,41.0,Outside
2021-09-02 12:00:00,64.4,63.2,Lower Southeast,72.0,41.0,Outside
2021-09-02 12:00:00,64.22,66.9,Lower Southwest,72.0,41.0,Outside
2021-09-02 12:00:00,69.08,59.4,Upper East (Garage),72.0,41.0,Outside
2021-09-02 12:00:00,68.9,56.19,Upper West (Bedroom),72.0,41.0,Outside
2021-09-02 12:00:00,72.0,41.0,Outside,72.0,41.0,Outside
2021-09-02 13:00:00,63.68,64.4,Lower Northeast,77.0,33.0,Outside
2021-09-02 13:00:00,71.78,55.0,Backyard,77.0,33.0,Outside
2021-09-02 13:00:00,64.76,63.4,Lower Southeast,77.0,33.0,Outside
2021-09-02 13:00:00,64.4,67.9,Lower Southwest,77.0,33.0,Outside
2021-09-02 13:00:00,69.26,57.8,Upper East (Garage),77.0,33.0,Outside
2021-09-02 13:00:00,69.08,55.49,Upper West (Bedroom),77.0,33.0,Outside
2021-09-02 13:00:00,77.0,33.0,Outside,77.0,33.0,Outside
2021-09-02 14:00:00,64.22,60.5,Lower Northeast,81.0,27.0,Outside
2021-09-02 14:00:00,71.96,54.9,Backyard,81.0,27.0,Outside
2021-09-02 14:00:00,64.58,64.0,Lower Southeast,81.0,27.0,Outside
2021-09-02 14:00:00,64.4,70.5,Lower Southwest,81.0,27.0,Outside
2021-09-02 14:00:00,69.44,57.4,Upper East (Garage),81.0,27.0,Outside
2021-09-02 14:00:00,69.8,54.59,Upper West (Bedroom),81.0,27.0,Outside
2021-09-02 14:00:00,81.0,27.0,Outside,81.0,27.0,Outside
2021-09-02 15:00:00,64.94,57.5,Lower Northeast,83.0,24.0,Outside
2021-09-02 15:00:00,72.32,54.5,Backyard,83.0,24.0,Outside
2021-09-02 15:00:00,64.58,63.1,Lower Southeast,83.0,24.0,Outside
2021-09-02 15:00:00,64.4,69.6,Lower Southwest,83.0,24.0,Outside
2021-09-02 15:00:00,69.44,55.5,Upper East (Garage),83.0,24.0,Outside
2021-09-02 15:00:00,69.8,52.99,Upper West (Bedroom),83.0,24.0,Outside
2021-09-02 15:00:00,83.0,24.0,Outside,83.0,24.0,Outside
2021-09-02 16:00:00,65.12,56.9,Lower Northeast,84.0,23.0,Outside
2021-09-02 16:00:00,72.68,54.2,Backyard,84.0,23.0,Outside
